"";"Trienio";"Nome_Microrregiao";"COD_Microrregiao_Geografica";"Categoria 1 ou Adequada (C1)";"Categoria 2 ou Intermediária (C2)";"Categoria 3 ou Inadequada (C3)";"Indice_Adequacao"
"129";"2003_2005";"Uberlandia";"31018";0,66446266104835;0,33553733895165;0;83,2231330524175
"130";"2003_2005";"Unai";"31001";0,278738684599205;0,499528128213701;0,221733187187094;30,6769561518962
"131";"2003_2005";"Varginha";"31050";0,800401140993475;0,199598859006525;0;90,0200570496738
"132";"2003_2005";"Vicosa";"31062";0,0881974328220482;0,911802567177952;0;54,4098716411024
"133";"2006_2008";"Aimores";"31041";0,451330148046255;0,548669851953745;0;72,5665074023128
"134";"2006_2008";"Alfenas";"31049";0,675674147329384;0,324325852670616;0;83,7837073664692
"135";"2006_2008";"Almenara";"31014";0;0,653648236763121;0,346351763236879;-1,95276448553192
"136";"2006_2008";"Andrelandia";"31055";0,148410400339958;0,851589599660042;0;57,4205200169979
"137";"2006_2008";"Aracuai";"31012";0,0967714202690225;0,903228579730977;0;54,8385710134511
"138";"2006_2008";"Araxa";"31023";0,627786470734971;0,372213529265029;0;81,3893235367485
"139";"2006_2008";"Barbacena";"31059";0,685811214795984;0,314188785204016;0;84,2905607397992
"140";"2006_2008";"Belo_Horizonte";"31030";0,802494926234513;0,19586487147876;0,00164020228672623;89,8787159687167
"141";"2006_2008";"Bocaiuva";"31009";0,71034117263812;0,28965882736188;0;85,517058631906
"142";"2006_2008";"Bom_Despacho";"31026";0,72145778322755;0,27854221677245;0;86,0728891613775
"143";"2006_2008";"Campo_Belo";"31045";0,448926182518062;0,551073817481938;0;72,4463091259031
"144";"2006_2008";"Capelinha";"31011";0,282387480737552;0,717612519262448;0;64,1193740368776
"145";"2006_2008";"Caratinga";"31040";0,19536552678224;0,80463447321776;0;59,768276339112
"146";"2006_2008";"Cataguases";"31066";0,519022734807112;0,480977265192888;0;75,9511367403556
"147";"2006_2008";"Conceicao_do_Mato_Dentro";"31028";0,125252773435795;0,56162984108613;0,313117385478075;9,29503085007848
"148";"2006_2008";"Conselheiro_Lafaiete";"31034";0,662277167892033;0,337722832107967;0;83,1138583946017
"149";"2006_2008";"Curvelo";"31025";0,368763626865115;0,631236373134885;0;68,4381813432557
"150";"2006_2008";"Diamantina";"31010";0,0283802100982718;0,971619789901728;0;51,4190105049136
"151";"2006_2008";"Divinopolis";"31043";0,783594295752566;0,176048843738536;0,0403568605088979;83,1261857112936
"152";"2006_2008";"Formiga";"31044";0,269218045145728;0,730781954854272;0;63,4609022572864
"153";"2006_2008";"Frutal";"31021";0,329816231212079;0,670183768787921;0;66,4908115606039
"154";"2006_2008";"Governador_Valadares";"31037";0,617343656854452;0,382656343145548;0;80,8671828427226
"155";"2006_2008";"Grao_Mogol";"31008";0,310872306595756;0,689127693404244;0;65,5436153297878
"156";"2006_2008";"Guanhaes";"31035";0,290379612782169;0,648888383465059;0,0607320037527719;55,4091800761926
"157";"2006_2008";"Ipatinga";"31039";0,930245869035257;0,0697541309647429;0;96,5122934517629
