Municipio,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 a 79 anos,De 80 anos ou mais
312087,629,572,691,704,672,632,552,519,426,420,346,329,285,223,181,115,137
312090,4958,5055,5896,6509,6818,6527,6180,5603,5327,5333,4934,4028,3210,2521,1904,1464,1817
312100,397,393,423,473,519,429,370,346,348,373,323,288,199,145,126,95,119
312110,475,493,561,721,638,573,577,522,604,650,621,472,406,255,191,139,166
312120,446,445,507,573,605,472,538,523,546,494,466,400,338,243,182,125,143
312125,863,876,864,860,872,1085,942,845,598,483,343,299,216,153,118,65,66
312130,293,292,331,394,417,376,427,321,296,339,313,288,268,183,137,116,155
312140,377,412,441,496,561,517,534,477,505,517,526,439,355,327,272,202,237
312150,162,161,169,203,234,222,203,232,217,226,214,187,152,131,93,67,101
312160,3079,3153,3600,4162,4602,4540,3934,3428,3028,2987,2839,2157,1684,1286,998,812,1005
312170,239,224,287,295,332,264,211,254,273,262,215,237,188,162,125,106,178
312180,447,458,535,603,664,607,659,561,592,576,580,471,391,352,262,197,276
312190,240,249,240,242,280,250,255,219,213,237,246,223,152,102,73,73,96
312200,1440,1398,1689,1652,1604,1509,1457,1407,1324,1286,1228,1022,909,578,462,339,435
312210,341,368,355,369,399,330,337,315,340,371,300,276,246,189,184,114,166
312220,541,538,580,653,776,632,538,457,413,450,433,339,306,217,179,148,192
312230,12841,13539,15214,17891,18529,19859,19477,18914,16721,16133,15829,13291,10122,7633,5136,3821,4140
312235,562,534,670,597,595,567,502,449,388,353,323,223,202,181,115,92,92
312240,443,439,444,504,512,471,404,421,390,339,372,309,260,208,151,138,145
312245,757,761,786,887,954,914,863,714,642,629,552,401,398,324,232,184,214
312247,246,241,301,312,350,266,277,263,252,279,258,195,188,113,90,70,65
312250,295,305,366,408,384,356,333,353,319,337,325,313,275,254,191,165,193
312260,315,298,348,383,397,333,309,306,290,263,285,221,217,172,129,118,147
312270,242,259,285,363,370,317,357,354,368,415,410,343,270,243,234,181,249
312280,164,169,177,231,227,194,220,226,232,230,232,204,157,117,92,84,66
312290,381,383,457,535,554,495,485,456,458,471,450,360,262,204,150,115,158
312300,573,601,679,764,850,713,755,716,710,764,749,585,450,369,246,159,177
312310,343,330,431,419,455,376,347,369,346,371,340,265,229,170,144,154,144
312320,683,717,889,1003,1033,818,880,921,997,1005,1044,851,753,645,520,452,507
312330,213,212,319,335,376,305,272,319,307,305,330,281,226,191,156,108,126
312340,99,105,107,105,127,98,115,103,138,94,90,91,72,64,37,21,35
312350,110,117,122,113,145,152,124,134,160,144,139,96,107,91,61,39,40
312352,598,565,665,733,676,644,641,558,493,461,435,375,267,200,137,135,137
312360,1856,1879,2067,2246,2211,2057,2077,1987,1762,1729,1752,1517,1252,960,687,479,531
312370,784,778,915,1030,919,859,763,780,666,713,629,522,427,347,256,202,259
312380,539,522,520,629,635,563,568,536,473,466,430,387,284,243,182,129,141
312385,332,328,391,426,405,412,377,399,367,335,367,258,265,190,150,144,161
312390,866,889,983,1172,1181,1140,1173,1182,1043,1106,961,837,693,583,459,321,368
312400,1212,1212,1374,1457,1562,1638,1528,1409,1278,1174,1111,1004,813,602,437,358,460
312410,5124,4878,5559,6469,6243,5090,4774,4928,4586,4444,3951,3388,2563,1773,1321,970,949
312420,1624,1622,1885,2110,1988,1943,1985,1797,1609,1565,1478,1368,1093,750,562,376,477
312430,2275,2264,2414,2570,2959,2885,2665,2112,1920,1841,1713,1522,1265,1015,817,621,788
312440,247,254,284,360,356,325,328,322,348,359,330,278,248,202,149,106,118
312450,624,640,731,878,862,904,879,812,825,844,754,678,535,429,339,240,247
312460,141,146,154,158,220,170,157,147,163,165,158,174,118,116,87,61,82
312470,180,189,222,259,239,227,234,237,267,264,260,244,184,179,139,95,115
312480,475,492,560,667,637,642,619,576,502,561,562,410,339,253,190,158,165
312490,666,684,720,789,804,901,863,843,754,726,742,652,531,465,305,231,367
312500,266,274,294,351,350,318,278,273,273,278,257,190,153,111,82,61,65
312510,2176,2185,2411,2858,2839,3152,2945,2660,2207,2082,1837,1680,1304,1027,777,517,521
312520,117,119,151,147,157,171,132,157,170,202,181,182,160,100,97,55,86
312530,225,222,245,247,268,236,189,223,214,208,224,203,173,134,99,87,129
312540,352,350,391,437,475,314,342,318,305,365,315,225,185,165,148,120,153
312560,518,526,563,655,655,533,439,468,450,476,428,320,304,299,244,178,206
312570,973,960,1102,1211,1228,1196,1047,1113,1025,999,983,831,711,529,378,297,343
312580,195,209,228,263,306,230,234,206,232,207,240,173,159,102,111,78,110
312590,645,633,720,811,795,672,699,707,747,726,758,516,503,378,320,327,385
312595,858,837,938,988,939,874,880,821,690,661,560,528,377,314,209,161,171
312600,383,397,518,588,658,584,505,524,505,506,484,402,298,273,214,151,167
