"";"COD_Microrregiao_Geografica";"Nome_Microrregiao";"Trienio";"Categoria_Adequacao";"Pop";"Tot";"Prop"
"102";"31006";"Pirapora";"2009_2011";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"103";"31006";"Pirapora";"2012_2014";"Categoria 1 ou Adequada (C1)";182907;573445;0,318961713852244
"104";"31006";"Pirapora";"2012_2014";"Categoria 2 ou Intermediária (C2)";378616;573445;0,660248149343006
"105";"31006";"Pirapora";"2012_2014";"Categoria 3 ou Inadequada (C3)";11922;573445;0,0207901368047502
"106";"31006";"Pirapora";"2015_2017";"Categoria 1 ou Adequada (C1)";104470;572932;0,182342756208416
"107";"31006";"Pirapora";"2015_2017";"Categoria 2 ou Intermediária (C2)";468462;572932;0,817657243791584
"108";"31006";"Pirapora";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"109";"31007";"Montes_Claros";"2000_2002";"Categoria 1 ou Adequada (C1)";36334;1389454;0,0261498401530385
"110";"31007";"Montes_Claros";"2000_2002";"Categoria 2 ou Intermediária (C2)";667232;1389454;0,480211651483245
"111";"31007";"Montes_Claros";"2000_2002";"Categoria 3 ou Inadequada (C3)";685888;1389454;0,493638508363717
"112";"31007";"Montes_Claros";"2003_2005";"Categoria 1 ou Adequada (C1)";14082;1437618;0,00979536984094523
"113";"31007";"Montes_Claros";"2003_2005";"Categoria 2 ou Intermediária (C2)";502021;1437618;0,349203334961026
"114";"31007";"Montes_Claros";"2003_2005";"Categoria 3 ou Inadequada (C3)";921515;1437618;0,641001295198029
"115";"31007";"Montes_Claros";"2006_2008";"Categoria 1 ou Adequada (C1)";143483;1470985;0,0975421231351781
"116";"31007";"Montes_Claros";"2006_2008";"Categoria 2 ou Intermediária (C2)";984674;1470985;0,669397716496089
"117";"31007";"Montes_Claros";"2006_2008";"Categoria 3 ou Inadequada (C3)";342828;1470985;0,233060160368733
"118";"31007";"Montes_Claros";"2009_2011";"Categoria 1 ou Adequada (C1)";364309;1468155;0,248140693591617
"119";"31007";"Montes_Claros";"2009_2011";"Categoria 2 ou Intermediária (C2)";1103846;1468155;0,751859306408383
"120";"31007";"Montes_Claros";"2009_2011";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"121";"31007";"Montes_Claros";"2012_2014";"Categoria 1 ou Adequada (C1)";290106;1531104;0,189475045457395
"122";"31007";"Montes_Claros";"2012_2014";"Categoria 2 ou Intermediária (C2)";1231812;1531104;0,804525362091667
"123";"31007";"Montes_Claros";"2012_2014";"Categoria 3 ou Inadequada (C3)";9186;1531104;0,00599959245093736
"124";"31007";"Montes_Claros";"2015_2017";"Categoria 1 ou Adequada (C1)";833524;1560949;0,533985415282626
"125";"31007";"Montes_Claros";"2015_2017";"Categoria 2 ou Intermediária (C2)";718104;1560949;0,46004321729922
"126";"31007";"Montes_Claros";"2015_2017";"Categoria 3 ou Inadequada (C3)";9321;1560949;0,00597136741815396
"127";"31008";"Grao_Mogol";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"128";"31008";"Grao_Mogol";"2000_2002";"Categoria 2 ou Intermediária (C2)";101358;122239;0,82917890362323
"129";"31008";"Grao_Mogol";"2000_2002";"Categoria 3 ou Inadequada (C3)";20881;122239;0,17082109637677
"130";"31008";"Grao_Mogol";"2003_2005";"Categoria 1 ou Adequada (C1)";59344;143798;0,412690023505195
"131";"31008";"Grao_Mogol";"2003_2005";"Categoria 2 ou Intermediária (C2)";84454;143798;0,587309976494805
"132";"31008";"Grao_Mogol";"2003_2005";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"133";"31008";"Grao_Mogol";"2006_2008";"Categoria 1 ou Adequada (C1)";45360;145912;0,310872306595756
"134";"31008";"Grao_Mogol";"2006_2008";"Categoria 2 ou Intermediária (C2)";100552;145912;0,689127693404244
"135";"31008";"Grao_Mogol";"2006_2008";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"136";"31008";"Grao_Mogol";"2009_2011";"Categoria 1 ou Adequada (C1)";34487;147809;0,233321380971389
"137";"31008";"Grao_Mogol";"2009_2011";"Categoria 2 ou Intermediária (C2)";113322;147809;0,766678619028611
"138";"31008";"Grao_Mogol";"2009_2011";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"139";"31008";"Grao_Mogol";"2012_2014";"Categoria 1 ou Adequada (C1)";65993;134167;0,491872069883056
"140";"31008";"Grao_Mogol";"2012_2014";"Categoria 2 ou Intermediária (C2)";68174;134167;0,508127930116944
"141";"31008";"Grao_Mogol";"2012_2014";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"142";"31008";"Grao_Mogol";"2015_2017";"Categoria 1 ou Adequada (C1)";19243;135750;0,141753222836096
"143";"31008";"Grao_Mogol";"2015_2017";"Categoria 2 ou Intermediária (C2)";116507;135750;0,858246777163904
"144";"31008";"Grao_Mogol";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"145";"31009";"Bocaiuva";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"146";"31009";"Bocaiuva";"2000_2002";"Categoria 2 ou Intermediária (C2)";169137;196914;0,858938419817789
"147";"31009";"Bocaiuva";"2000_2002";"Categoria 3 ou Inadequada (C3)";27777;196914;0,141061580182212
"148";"31009";"Bocaiuva";"2003_2005";"Categoria 1 ou Adequada (C1)";29986;201667;0,148690663321218
"149";"31009";"Bocaiuva";"2003_2005";"Categoria 2 ou Intermediária (C2)";171681;201667;0,851309336678782
"150";"31009";"Bocaiuva";"2003_2005";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"151";"31009";"Bocaiuva";"2006_2008";"Categoria 1 ou Adequada (C1)";146098;205673;0,71034117263812
"152";"31009";"Bocaiuva";"2006_2008";"Categoria 2 ou Intermediária (C2)";59575;205673;0,28965882736188
"153";"31009";"Bocaiuva";"2006_2008";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"154";"31009";"Bocaiuva";"2009_2011";"Categoria 1 ou Adequada (C1)";173961;209270;0,83127538586515
"155";"31009";"Bocaiuva";"2009_2011";"Categoria 2 ou Intermediária (C2)";35309;209270;0,16872461413485
"156";"31009";"Bocaiuva";"2009_2011";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"157";"31009";"Bocaiuva";"2012_2014";"Categoria 1 ou Adequada (C1)";177412;212889;0,833354471109357
"158";"31009";"Bocaiuva";"2012_2014";"Categoria 2 ou Intermediária (C2)";35477;212889;0,166645528890643
"159";"31009";"Bocaiuva";"2012_2014";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"160";"31009";"Bocaiuva";"2015_2017";"Categoria 1 ou Adequada (C1)";162821;216471;0,752160797520222
"161";"31009";"Bocaiuva";"2015_2017";"Categoria 2 ou Intermediária (C2)";53650;216471;0,247839202479778
"162";"31009";"Bocaiuva";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"163";"31010";"Diamantina";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"164";"31010";"Diamantina";"2000_2002";"Categoria 2 ou Intermediária (C2)";324085;324085;1
"165";"31010";"Diamantina";"2000_2002";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"166";"31010";"Diamantina";"2003_2005";"Categoria 1 ou Adequada (C1)";10735;327570;0,0327716213328449
"167";"31010";"Diamantina";"2003_2005";"Categoria 2 ou Intermediária (C2)";316835;327570;0,967228378667155
"168";"31010";"Diamantina";"2003_2005";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"169";"31010";"Diamantina";"2006_2008";"Categoria 1 ou Adequada (C1)";9380;330512;0,0283802100982718
"170";"31010";"Diamantina";"2006_2008";"Categoria 2 ou Intermediária (C2)";321132;330512;0,971619789901728
"171";"31010";"Diamantina";"2006_2008";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"172";"31010";"Diamantina";"2009_2011";"Categoria 1 ou Adequada (C1)";35688;333152;0,107122274517337
"173";"31010";"Diamantina";"2009_2011";"Categoria 2 ou Intermediária (C2)";297464;333152;0,892877725482663
"174";"31010";"Diamantina";"2009_2011";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"175";"31010";"Diamantina";"2012_2014";"Categoria 1 ou Adequada (C1)";49076;326009;0,150535721406464
"176";"31010";"Diamantina";"2012_2014";"Categoria 2 ou Intermediária (C2)";276933;326009;0,849464278593536
"177";"31010";"Diamantina";"2012_2014";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"178";"31010";"Diamantina";"2015_2017";"Categoria 1 ou Adequada (C1)";291448;337749;0,862912991600271
"179";"31010";"Diamantina";"2015_2017";"Categoria 2 ou Intermediária (C2)";46301;337749;0,137087008399729
"180";"31010";"Diamantina";"2015_2017";"Categoria 3 ou Inadequada (C3)";NA;NA;0
"181";"31011";"Capelinha";"2000_2002";"Categoria 1 ou Adequada (C1)";NA;NA;0
"182";"31011";"Capelinha";"2000_2002";"Categoria 2 ou Intermediária (C2)";355994;880336;0,404384235110231
"183";"31011";"Capelinha";"2000_2002";"Categoria 3 ou Inadequada (C3)";524342;880336;0,595615764889769
"184";"31011";"Capelinha";"2003_2005";"Categoria 1 ou Adequada (C1)";NA;NA;0
"185";"31011";"Capelinha";"2003_2005";"Categoria 2 ou Intermediária (C2)";892579;892579;1
"186";"31011";"Capelinha";"2003_2005";"Categoria 3 ou Inadequada (C3)";NA;NA;0
